degree_id;degree_name;uni_id
106510090;Psikoloji (İngilizce);1065
106510089;Siyaset Bilimi ve Uluslararası İlişkiler (İngilizce);1065
106510014;Mimarlık (İngilizce);1065
106510077;Bilgisayar Mühendisliği (İngilizce);1065
106510068;Elektrik-Elektronik Mühendisliği (İngilizce);1065
106510023;Endüstri Mühendisliği (İngilizce);1065
106510032;İnşaat Mühendisliği (İngilizce);1065
106510041;Makine Mühendisliği (İngilizce);1065
106510087;Biyomühendislik (İngilizce);1065
106510086;Moleküler Biyoloji ve Genetik (İngilizce);1065
106510088;Ekonomi (İngilizce);1065
106510059;İşletme (İngilizce);1065
200110265;Eczacılık Fakültesi (İngilizce) (Ücretli);2001
200110274;Eczacılık Fakültesi (İngilizce) (Burslu);2001
200190060;Eczacılık Fakültesi (İngilizce) (%25 İndirimli);2001
200110211;Moleküler Biyoloji ve Genetik (İngilizce) (Burslu);2001
200110229;Moleküler Biyoloji ve Genetik (İngilizce) (%25 İndirimli);2001
200110114;Psikoloji (Ücretli);2001
200110123;Psikoloji (Burslu);2001
200190040;Psikoloji (%25 İndirimli);2001
200190050;Psikoloji (İngilizce) (Ücretli);2001
200190051;Psikoloji (İngilizce) (Burslu);2001
200190052;Psikoloji (İngilizce) (%25 İndirimli);2001
200190026;Sosyoloji (Burslu);2001
200190027;Sosyoloji (%50 İndirimli);2001
200110202;Tıp Mühendisliği (İngilizce) (Burslu);2001
200110292;Tıp Mühendisliği (İngilizce) (%50 İndirimli);2001
200190061;Beslenme ve Diyetetik (Ücretli);2001
200110141;Beslenme ve Diyetetik (Burslu);2001
200110168;Beslenme ve Diyetetik (%25 İndirimli);2001
200190055;Beslenme ve Diyetetik (İngilizce) (Ücretli);2001
200190056;Beslenme ve Diyetetik (İngilizce) (Burslu);2001
200190057;Beslenme ve Diyetetik (İngilizce) (%25 İndirimli);2001
200110044;Fizyoterapi ve Rehabilitasyon (Burslu);2001
200110326;Fizyoterapi ve Rehabilitasyon (%25 İndirimli);2001
200110053;Hemşirelik (Burslu);2001
200110159;Hemşirelik (%50 İndirimli);2001
200190053;Hemşirelik (İngilizce) (Burslu);2001
