program_id;fakulte_adi;puan_turu;burs_turu;genel_kontenjan;okul_birincisi_kontenjani;toplam_kontenjan;genel_kontenjana_yerlesen;okul_birincisi_kontenjanina_yerlesen;toplam_yerlesen;bos_kontenjan;ilk_yerlesme_orani;kayit_yaptirmayan;ek_yerlesen;ortalama_obp;ort_diploma_notu
106510090;İnsan ve Toplum Bilimleri Fakültesi;EA;Ücretsiz;40;1;41;40;1;41;0;100;0;0;422.609;84.5
106510089;İnsan ve Toplum Bilimleri Fakültesi;EA;Ücretsiz;50;2;52;52;0;52;0;100;2;2;405.127;81
106510014;Mimarlık Fakültesi;SAY;Ücretsiz;60;2;62;61;1;62;0;100;0;0;441.285;88.3
106510077;Mühendislik Fakültesi;SAY;Ücretsiz;70;2;72;70;2;72;0;100;0;0;448.014;89.6
106510068;Mühendislik Fakültesi;SAY;Ücretsiz;70;2;72;70;2;72;0;100;0;0;442.653;88.5
106510023;Mühendislik Fakültesi;SAY;Ücretsiz;60;2;62;61;1;62;0;100;0;0;449.47;89.9
106510032;Mühendislik Fakültesi;SAY;Ücretsiz;60;2;62;62;0;62;0;100;2;2;408.094;81.6
106510041;Mühendislik Fakültesi;SAY;Ücretsiz;60;2;62;62;0;62;0;100;2;2;431.807;86.4
106510087;Yaşam ve Doğa Bilimleri Fakültesi;SAY;Ücretsiz;60;2;62;62;0;62;0;100;0;0;423.356;84.7
106510086;Yaşam ve Doğa Bilimleri Fakültesi;SAY;Ücretsiz;60;2;62;62;0;62;0;100;0;0;437.525;87.5
106510088;Yönetim Bilimleri Fakültesi;EA;Ücretsiz;50;2;52;52;0;52;0;100;2;2;399.981;80
106510059;Yönetim Bilimleri Fakültesi;EA;Ücretsiz;60;2;62;62;0;62;0;100;3;3;403.165;80.6
200110265;Eczacılık Fakültesi;SAY;Ücretli;33;0;33;33;0;33;0;100;0;0;461.858;92.4
200110274;Eczacılık Fakültesi;SAY;Burslu;8;0;8;8;0;8;0;100;0;0;472.148;94.4
200190060;Eczacılık Fakültesi;SAY;%25 İndirimli;12;0;12;12;0;12;0;100;0;0;458.488;91.7
200110211;Fen-Edebiyat Fakültesi;SAY;Burslu;6;0;6;6;0;6;0;100;0;0;481.959;96.4
200110229;Fen-Edebiyat Fakültesi;SAY;%25 İndirimli;34;0;34;34;0;34;0;100;1;1;444.729;88.9
200110114;Fen-Edebiyat Fakültesi;EA;Ücretli;42;0;42;42;0;42;0;100;3;3;407.613;81.5
200110123;Fen-Edebiyat Fakültesi;EA;Burslu;9;0;9;9;0;9;0;100;0;0;440.449;88.1
200190040;Fen-Edebiyat Fakültesi;EA;%25 İndirimli;9;0;9;9;0;9;0;100;1;0;403.663;80.7
200190050;Fen-Edebiyat Fakültesi;EA;Ücretli;32;0;32;32;0;32;0;100;3;1;412.706;82.5
200190051;Fen-Edebiyat Fakültesi;EA;Burslu;8;0;8;8;0;8;0;100;0;0;435.497;87.1
200190052;Fen-Edebiyat Fakültesi;EA;%25 İndirimli;10;0;10;10;0;10;0;100;1;1;417.037;83.4
200190026;Fen-Edebiyat Fakültesi;EA;Burslu;4;0;4;4;0;4;0;100;0;0;418.081;83.6
200190027;Fen-Edebiyat Fakültesi;EA;%50 İndirimli;16;0;16;16;0;16;0;100;0;0;371.605;74.3
200110202;Mühendislik Fakültesi;SAY;Burslu;5;0;5;5;0;5;0;100;0;0;473.602;94.7
200110292;Mühendislik Fakültesi;SAY;%50 İndirimli;31;0;31;31;0;31;0;100;1;0;426.003;85.2
200190061;Sağlık Bilimleri Fakültesi;SAY;Ücretli;11;0;11;11;0;11;0;100;0;0;438.645;87.7
200110141;Sağlık Bilimleri Fakültesi;SAY;Burslu;9;0;9;9;0;9;0;100;0;0;455.252;91.1
200110168;Sağlık Bilimleri Fakültesi;SAY;%25 İndirimli;40;0;40;40;0;40;0;100;0;0;437.768;87.6
200190055;Sağlık Bilimleri Fakültesi;SAY;Ücretli;11;0;11;11;0;11;0;100;1;0;411.479;82.3
200190056;Sağlık Bilimleri Fakültesi;SAY;Burslu;9;0;9;9;0;9;0;100;0;0;461.181;92.2
200190057;Sağlık Bilimleri Fakültesi;SAY;%25 İndirimli;40;0;40;40;0;40;0;100;0;0;442.664;88.5
200110044;Sağlık Bilimleri Fakültesi;SAY;Burslu;9;0;9;9;0;9;0;100;0;0;453.128;90.6
200110326;Sağlık Bilimleri Fakültesi;SAY;%25 İndirimli;51;0;51;51;0;51;0;100;3;3;419.534;83.9
200110053;Sağlık Bilimleri Fakültesi;SAY;Burslu;12;0;12;12;0;12;0;100;0;0;445.613;89.1
200110159;Sağlık Bilimleri Fakültesi;SAY;%50 İndirimli;68;0;68;68;0;68;0;100;1;1;414.445;82.9
