program_id;tercih_sirasi;yerlesen_sayisi
106510090;1;10
106510090;2;3
106510090;3;4
106510090;4;1
106510090;6;2
106510090;7;3
106510090;8;1
106510090;9;1
106510090;10;1
106510090;11;2
106510090;12;2
106510090;13;3
106510090;14;2
106510090;16;3
106510090;17;1
106510090;23;2
106510089;1;19
106510089;2;12
106510089;3;7
106510089;4;4
106510089;5;4
106510089;6;1
106510089;7;1
106510089;15;1
106510089;16;1
106510089;17;2
106510014;1;16
106510014;2;8
106510014;3;6
106510014;4;5
106510014;5;4
106510014;6;3
106510014;7;1
106510014;8;5
106510014;9;1
106510014;10;7
106510014;11;2
106510014;12;1
106510014;14;1
106510014;16;1
106510014;17;1
106510077;1;11
106510077;2;2
106510077;3;6
106510077;4;11
106510077;5;6
106510077;6;7
106510077;7;2
106510077;8;3
106510077;9;7
106510077;10;3
106510077;12;1
106510077;13;2
106510077;14;3
106510077;15;1
106510077;16;1
106510077;17;1
106510077;19;3
106510077;21;2
106510068;1;8
106510068;2;6
106510068;3;5
106510068;4;4
106510068;5;6
106510068;6;2
106510068;7;3
106510068;8;5
106510068;9;2
106510068;10;3
106510068;11;3
106510068;12;1
106510068;13;5
106510068;14;5
106510068;15;3
106510068;16;1
106510068;17;2
106510068;18;1
106510068;19;1
106510068;20;2
106510068;21;1
106510068;23;1
106510068;24;2
106510023;1;5
106510023;2;6
106510023;3;5
106510023;4;4
106510023;5;6
106510023;6;4
106510023;7;3
106510023;8;3
106510023;9;6
106510023;10;3
106510023;11;2
106510023;13;3
106510023;14;4
106510023;15;2
106510023;16;3
106510023;18;2
106510023;24;1
106510032;1;13
106510032;2;11
106510032;3;3
106510032;4;9
106510032;5;3
106510032;6;1
106510032;7;3
106510032;8;3
106510032;9;2
106510032;10;2
106510032;11;3
106510032;13;2
106510032;14;3
106510032;17;1
106510032;18;1
106510032;20;2
106510041;1;4
106510041;2;3
106510041;3;9
106510041;4;6
106510041;5;6
106510041;6;3
106510041;7;1
106510041;8;5
106510041;9;6
106510041;10;3
106510041;11;3
106510041;12;2
106510041;13;1
106510041;14;1
106510041;15;2
106510041;16;1
106510041;17;1
106510041;18;1
106510041;19;2
106510041;21;2
106510087;1;7
106510087;2;8
106510087;3;7
106510087;4;8
106510087;5;6
106510087;6;6
106510087;7;3
106510087;8;4
106510087;9;2
106510087;10;2
106510087;11;2
106510087;12;1
106510087;14;1
106510087;15;1
106510087;16;1
106510087;21;2
106510087;24;1
106510086;1;13
