program_id;sehir_adi;yerlesen_sayisi
106510090;Manisa;1
106510090;Sivas;1
106510090;Çanakkale;1
106510090;Kocaeli;1
106510090;Kayseri;22
106510090;Aksaray;1
106510090;Elazığ;3
106510090;Ankara;2
106510090;Konya;1
106510090;İzmir;1
106510090;Tekirdağ;1
106510090;Van;1
106510090;Mersin;1
106510090;Tokat;1
106510090;Malatya;1
106510090;Çankırı;1
106510090;Osmaniye;1
106510089;Ankara;4
106510089;Tunceli;1
106510089;Yalova;1
106510089;Balıkesir;1
106510089;Sivas;2
106510089;Kahramanmaraş;1
106510089;Gümüşhane;1
106510089;Kayseri;38
106510089;Mersin;1
106510089;İstanbul;1
106510089;Elazığ;1
106510014;Mersin;1
106510014;Konya;3
106510014;İzmir;1
106510014;Gaziantep;1
106510014;Van;1
106510014;Adana;1
106510014;Kayseri;26
106510014;İstanbul;1
106510014;Şanlıurfa;2
106510014;Çorum;1
106510014;Bursa;1
106510014;Kahramanmaraş;1
106510014;Aksaray;1
106510014;Denizli;1
106510014;Ağrı;1
106510014;Kırşehir;1
106510014;Giresun;1
106510014;Samsun;1
106510014;Amasya;1
106510014;Sivas;2
106510014;Ankara;4
106510014;Hatay;2
106510014;Aydın;3
106510014;Niğde;1
106510014;Uşak;1
106510014;Osmaniye;2
106510077;Niğde;3
106510077;Aydın;1
106510077;Gaziantep;1
106510077;Denizli;2
106510077;Zonguldak;1
106510077;Kütahya;1
106510077;Kayseri;18
106510077;Mersin;4
106510077;Antalya;1
106510077;Adana;5
106510077;Muğla;1
106510077;Ankara;2
106510077;Tokat;1
106510077;Amasya;2
106510077;Düzce;1
106510077;Erzurum;2
106510077;Kocaeli;1
106510077;Siirt;1
106510077;Elazığ;1
106510077;Konya;3
106510077;Bitlis;1
106510077;Tekirdağ;1
106510077;Şanlıurfa;1
106510077;Afyonkarahisar;1
106510077;Samsun;1
106510077;Diyarbakır;1
106510077;Erzincan;1
106510077;Sinop;1
106510077;Manisa;1
106510077;Kırşehir;1
106510077;Bursa;2
106510077;İzmir;1
106510077;İstanbul;4
106510077;Malatya;1
106510077;Trabzon;1
106510077;Isparta;1
106510068;Bursa;1
106510068;Elazığ;1
106510068;Bilecik;1
106510068;İzmir;1
106510068;Kahramanmaraş;2
106510068;Balıkesir;2
106510068;Adıyaman;1
106510068;Aksaray;1
106510068;Diyarbakır;2
106510068;Nevşehir;2
106510068;Çanakkale;2
106510068;Afyonkarahisar;1
106510068;Batman;1
106510068;Karaman;1
106510068;Kayseri;26
106510068;İstanbul;3
106510068;Manisa;1
106510068;Niğde;1
106510068;Adana;1
106510068;Şanlıurfa;1
106510068;Hatay;1
106510068;Eskişehir;1
106510068;Yozgat;2
106510068;Artvin;1
106510068;Ankara;4
106510068;Konya;10
106510068;Malatya;1
106510023;Kayseri;18
106510023;Sakarya;1
106510023;İzmir;2
106510023;Aydın;1
106510023;Denizli;1
106510023;Isparta;1
106510023;Konya;5
106510023;Sivas;1
106510023;İstanbul;6
106510023;Elazığ;1
106510023;Hatay;1
106510023;Nevşehir;3
106510023;Kahramanmaraş;2
106510023;Gaziantep;1
106510023;Kırşehir;1
106510023;Malatya;1
106510023;Diyarbakır;2
106510023;Adana;2
106510023;Niğde;3
106510023;Bursa;1
106510023;Eskişehir;2
106510023;Ankara;6
106510032;Ankara;4
106510032;Kayseri;44
106510032;Van;1
106510032;Sivas;2
106510032;Muğla;1
106510032;Nevşehir;2
106510032;Ağrı;1
106510032;Osmaniye;1
106510032;Balıkesir;1
106510032;Elazığ;2
