program_id;tercih_eden_sayisi
106510090;570
106510090;27
106510089;415
106510089;26
106510014;772
106510014;61
106510014;2
106510077;892
106510077;109
106510077;4
106510068;963
106510068;92
106510068;5
106510023;786
106510023;83
106510023;1
106510032;822
106510032;69
106510041;874
106510041;44
106510041;3
106510087;751
106510087;49
106510087;1
106510086;595
106510086;60
106510088;357
106510088;14
106510059;540
106510059;54
200110265;63
200110265;504
200110265;19
200110274;50
200110274;41
200190060;61
200190060;117
200110211;57
200110211;28
200110229;62
200110229;290
200110114;23
200110114;456
200110123;46
200110123;72
200190040;1
200190040;69
200190050;15
200190050;390
200190051;39
200190051;58
200190052;6
200190052;85
200190026;18
200190026;19
200190027;46
200190027;94
200110202;38
200110202;25
200110292;85
200110292;236
200190061;3
200190061;171
200110141;78
200110141;43
200110168;46
200110168;406
200110168;2
200190055;1
200190055;183
200190056;49
200190056;71
200190057;28
200190057;434
200110044;93
200110044;66
200110326;43
200110326;677
200110053;123
200110053;59
200110053;7
200110159;300
200110159;594
200110159;4
200190053;99
200190053;67
200190053;3
200190054;345
200190054;326
200190054;5
200110026;3
200110026;22
200110177;83
200110177;141
200110071;61
200110071;73
200110238;107
200110238;63
110410223;703
110410223;89
110410223;12
110410227;686
110410227;33
110410227;4
110410213;804
110410213;20
110410228;491
110410228;12
110410228;2
110410028;710
110410028;34
110410028;3
110410224;1026
110410224;32
110410224;1
110410143;895
110410143;64
110410064;137
110410064;2
110410019;795
110410019;28
110410037;834
110410037;46
110410037;6
110410225;244
110410179;42
110410046;224
110410082;36
110410073;767
110410073;18
110410222;519
110410222;17
110410226;615
110410226;19
100210362;1544
100210362;104
100210362;46
100210362;4
100210353;1567
100210353;77
100210353;14
100210283;353
100210283;15
100210017;572
100210017;3
100210017;3
100210026;577
100210026;12
100210098;926
100210098;2
100290069;627
100290069;6
100210105;1032
100210105;6
100210035;898
100210035;1
100210044;744
100210044;8
100210114;625
100210114;5
100210317;301
100210317;2
100210177;224
100290057;882
100290057;9
100290057;2
100210053;493
100210053;4
100210053;5
100210132;687
100210132;5
100210141;730
100210141;4
100210186;727
100210186;13
100210062;653
100210062;5
100210062;3
100210195;575
100210195;5
100210202;375
100210202;15
100210202;7
100290058;246
100210211;803
100210211;5
100210371;983
100210326;92
100210326;2
100210308;107
100210335;14
100210335;1
100290060;43
100210071;1050
100210071;9
100210089;1305
100210089;4
100210089;1
100210398;343
100210168;2921
100210168;95
100210168;48
100290059;603
100290059;3
100290059;1
100410969;895
100410793;705
100410793;4
100490199;443
100490199;3
100490202;733
100490202;43
100490203;294
100410687;477
100410678;741
100410678;12
100410015;1054
100410015;5
100410015;2
100410024;1064
100410024;4
100410024;9
100410033;988
100410042;918
100410069;905
100410069;4
100430267;974
100430267;1
100410078;717
100410078;4
100410078;1
100430319;697
100430319;7
100410924;625
100410103;408
100410103;3
100410112;834
100410112;10
100410809;942
100410809;17
100490197;1059
100490197;16
100410121;1006
100410121;2
100430055;1065
100430055;18
100410139;1178
100410139;1
100410139;1
100430064;1146
100430064;10
100430064;1
100410148;1043
100410148;6
100430073;1106
100430073;10
100430073;1
100410784;903
100410784;39
100410784;1
100430531;921
100430531;52
100430531;8
100410157;796
100410157;20
100410157;2
100410836;2040
100410836;41
100410166;996
100410166;4
100410175;821
100410175;29
100410175;10
100410184;982
100410184;12
100410193;1292
100410193;6
100410193;1
100430107;585
100410978;736
100410978;7
100430655;481
100430655;1
100490204;1045
100490204;37
100490204;3
100410766;1373
100430522;1573
100430522;3
100430522;3
100410696;610
100410696;9
100410633;795
100410633;31
100410633;1
100410218;57
100410536;18
100410624;118
100410493;81
100410493;1
100410236;26
100490191;1012
100490191;2
100410987;962
100410987;3
100410987;3
100410651;1080
100410651;19
100410669;36
100410669;1
100410615;1161
100410615;14
100410615;1
100410615;1
100410712;554
100410712;12
100410599;146
100410599;1
100410827;795
100410827;1
100410827;3
100430567;732
100430567;9
100430567;3
100410818;458
100410818;5
100410818;4
100410933;667
100410933;1
100410933;1
100430601;666
100430601;2
100430601;4
100410324;923
100410324;10
100410324;3
100410324;1
112690178;1894
112690178;102
112690178;29
112690178;2
112690221;1259
112690221;138
112690221;17
112690221;1
112610554;1124
112610554;28
112610509;1684
112610509;13
112630637;1344
112630637;14
112610333;1876
112610333;10
112610942;1023
112610942;7
112630628;1342
112630628;10
112610315;4005
112610315;35
112610315;3
100510298;458
100510298;1
100510235;1561
100510235;118
100510235;19
100510235;2
100510077;1060
100510077;3
100510086;894
100510086;1
100510095;1112
100510095;5
100510095;2
100510023;1081
100510023;2
100510023;2
100510032;831
100510041;876
100510041;1
100510262;581
100510262;18
100590075;760
100590075;3
100510174;459
100510174;5
100510174;3
100590058;242
100510208;135
100590064;437
100590064;15
100510138;882
100510138;6
100510138;1
100510138;1
100530099;555
100530099;6
100510129;857
100530063;726
100530063;2
100590077;582
100510183;98
100510253;452
100510217;1329
100510217;1
100530169;1466
100530169;5
100590078;721
100590078;3
100510289;1235
100510289;5
100510289;1
100510289;1
100530178;833
100530178;11
100530178;4
100510059;1297
100510059;4
100590061;630
100590061;6
100590061;11
100590061;1
100590083;444
100590083;4
100590073;1122
100590073;1
100590074;891
100710684;2132
100710684;41
100710684;17
100710675;492
100710675;9
100710675;4
100710048;588
100710048;20
100711037;713
100711037;6
100730449;511
100730449;6
100710066;461
100710066;5
100710075;727
100710075;4
100710754;624
100710754;22
100730361;628
100730361;12
100730361;2
100790419;258
100790419;1
100790419;2
100710878;1061
100710878;54
100790417;372
100790417;6
100710657;627
100710657;3
100710118;568
100710118;18
100710118;2
100710127;939
100710127;7
100710127;3
100710569;810
100710569;1
100710569;6
100730185;658
100730185;4
100710472;749
100710472;5
100710472;2
100710612;693
100710612;28
100710612;1
100710012;666
100710012;10
100710021;891
100710021;9
100790319;874
100790319;9
100790319;2
100710833;983
100710833;14
100710833;12
100710039;711
100710039;10
100710039;9
100710587;959
100710587;1
100710587;1
100710463;750
100710463;7
100710057;602
100710057;6
100710057;15
100710084;230
100710084;9
100710093;246
100710093;1
100710109;771
100710109;24
100710693;444
100710693;35
100710136;554
100710136;20
100710824;2563
100710824;26
100710824;4
100710145;2930
100710145;99
100710145;2
100710578;951
100710578;7
100710578;5
100710596;776
100710596;16
100710596;6
100710154;959
100710154;34
100710154;1
100710163;820
100710163;35
100710181;947
100710181;13
100711197;1136
100711197;26
100711197;6
100730467;802
100730467;30
100710199;840
100710199;23
100710199;11
100730316;832
100730316;14
100730316;1
100710745;1982
100710745;14
100710745;13
100710445;955
100710445;11
100710445;11
100710206;908
100710206;27
100710215;772
100710215;32
100710215;1
100790413;684
100790413;12
100790323;638
100790323;11
100790330;1254
100790330;7
100711179;1284
100711179;15
100790418;844
100790418;8
100790418;5
100790478;457
100790478;24
100790478;6
100711091;1161
100711091;15
100711091;8
100730458;1006
100730458;48
100730458;2
100790327;784
100790327;20
100790329;563
100790329;4
100790329;1
100711204;648
100711204;15
100711204;8
100790328;645
100790328;6
100790328;2
100711107;909
100711107;12
100710648;1358
100710648;88
100710296;992
100710296;27
100710296;3
100711161;968
100711161;22
100711046;978
100711046;99
100711046;10
100711046;1
100710224;99
100710436;1021
100710436;50
100710436;7
100730219;885
100730219;47
100730219;1
100710287;1045
100710287;36
100710233;1022
100710233;31
100710233;4
100710242;25
100710251;1151
100710251;49
100710251;2
100790320;912
100790320;44
100790320;2
100710603;887
100710603;14
100710603;3
100711188;770
100711188;33
100790414;496
100790414;1
100790473;803
100790473;3
100710427;264
100710427;6
100710278;3930
100710278;116
100710815;533
100710815;84
100711055;496
100711055;10
100710799;613
100710799;57
100710851;378
100710851;14
100710869;334
100710869;7
100790475;722
100790475;10
100790475;11
100790471;24
100711116;716
100711116;21
100730413;510
100730413;8
100790469;743
100790469;15
100711125;618
100711125;22
100730422;549
100730422;7
100711134;637
100711134;42
100730431;617
100730431;32
100730431;9
100710481;472
100710481;3
100710481;3
100710499;423
100710506;374
100710506;10
100710506;3
100711064;12
100711019;484
100711082;382
100711082;10
100710524;387
100710524;7
100710551;449
100710551;1
100710551;5
100711152;13
100710533;458
100710533;10
100710542;568
100710542;2
100710542;3
100710542;1
100810126;703
100810126;8
100810189;771
100810189;16
100810347;1060
100890064;984
100890064;2
100890064;3
100810205;1524
100810205;5
100810205;1
100810135;864
100810135;7
100810144;978
100810144;1
100810144;1
100810462;625
100810462;1
100810092;326
100810092;7
100890070;847
100890070;1
100810356;292
100810356;11
100890063;967
100890063;11
100890063;7
100810162;898
100810162;5
100810365;724
100810365;7
100810171;900
100810171;2
100810286;792
100810286;3
100810268;523
100810011;528
100810011;1
100810435;904
100810435;6
100810435;3
100810471;1148
100810471;15
100810498;574
100810498;9
100810374;921
100810374;30
100810532;985
100810532;4
100890059;873
100890059;2
100810426;1415
100830281;1477
100830281;2
100830281;1
100810523;1017
100810523;15
100810523;7
100810311;1277
100810311;25
100810311;4
100810383;1175
100810383;34
100810214;4
100810047;7
100810065;87
100890057;1045
100890057;13
100890057;3
100890058;665
100890058;5
100810505;1706
100810505;12
100810514;1142
100810514;3
100810541;1770
100810541;18
100810541;2
100890060;688
100890060;2
110590035;1493
110590035;55
110590035;11
110590035;2
110510027;730
110510027;4
110510027;10
110510036;941
110510036;12
110510142;744
110510142;6
110590018;1035
110590018;3
110590018;2
110510133;1014
110510133;16
110590031;1069
110590031;17
110590031;4
110590037;577
110590038;923
110590038;25
110590038;7
110590051;819
110590051;41
110590051;4
110510115;754
110510115;3
110510115;4
110510072;1089
110510072;25
110510099;842
110510099;27
110510099;9
110590022;937
110590022;38
110590022;1
110590019;1018
110590019;43
110590019;8
110510045;1088
110510045;35
110510045;12
110590032;342
110590032;13
110590032;2
110590032;1
110510151;176
110510151;11
110510151;2
110590020;1086
110590020;25
110590020;6
110590023;162
110590023;18
110590033;1027
110590033;33
110590033;4
110510106;84
110590039;883
110590039;14
110590040;1006
110590040;22
110590040;1
110590034;1380
110590034;19
110590034;2
110590041;1262
110590041;32
110590041;4
110510018;2197
110510018;55
110510018;3
110510169;895
110510169;11
110510169;2
110510081;687
110510081;15
110510081;1
206910063;8
206910063;3
206910081;23
206910081;1
206990054;45
206990054;44
206990054;2
206910027;65
206910027;14
206910045;20
206910045;2
206990060;40
206990060;21
206990061;12
206990061;20
206910115;33
206910115;12
206910133;214
206910133;166
206910133;17
206990063;46
206990063;17
206990064;1
206990064;5
202911019;36
202911019;309
202911019;6
202911001;222
202911001;83
202911001;1
202911037;113
202911037;308
202911037;19
202910666;106
202910666;612
202910666;33
202910675;100
202910675;114
202910675;1
202910693;111
202910693;291
202910693;12
202990164;38
202990164;154
202990165;2
202990165;21
202910418;58
202910418;70
202910287;566
202910287;540
202910781;331
202910781;521
202910781;44
202910736;17
202910736;9
202910799;51
202910799;138
202910799;7
202910463;97
202910463;130
202910481;10
202910481;73
202911073;8
202911073;143
202910251;70
202910251;85
202910251;8
202910806;67
202910806;312
202910806;2
202910506;115
202910506;150
202910524;3
202910524;42
202910612;90
202910612;134
202910639;27
202910199;77
202910199;126
202910206;5
202911497;65
202911497;107
202911504;1
202911504;83
202990170;46
202990170;112
202990171;3
202990171;16
202990166;73
202990166;155
202990167;40
202910093;130
202910093;190
202910109;6
202910109;78
202910118;108
202910118;158
202910127;14
202910136;86
202910136;176
202910136;5
202910145;28
202910145;12
202990172;28
202990172;93
202990173;44
202990173;454
202990173;5
202910657;18
202910657;66
202910648;42
202910648;453
202910587;47
202910587;128
202910551;91
202910551;89
202990174;15
202911249;102
202911249;187
202910172;75
202910172;148
202910172;1
202990175;170
202990175;193
202990175;1
202990176;12
202990176;116
202990176;2
202910754;43
202910754;586
202910754;23
202910763;73
202910763;68
202910763;1
202910772;149
202910772;189
202910772;1
202990168;8
202990168;57
202990169;21
202990169;245
202911425;18
202911425;52
202911434;33
202911434;382
202911434;3
100910019;591
100910019;1
100910028;725
100910028;6
100910231;792
100910231;2
100910037;1051
100910037;1
100910082;1031
100910082;10
100910046;1028
100910046;4
100910055;856
100910064;899
100910143;541
100910143;7
100910204;831
100910204;20
100930102;863
100930102;5
100910249;921
100930138;822
100910267;1474
100910267;7
100930147;1957
100930147;2
100990034;712
100990034;5
100990034;1
100990022;549
100990022;4
100990038;919
100990038;3
100910258;698
100910258;22
100910152;879
100910152;10
100910152;2
100990029;1191
100990029;5
100990030;1627
100990030;10
100990030;2
100990037;973
100990037;65
100990037;2
100910161;174
100910161;8
100910213;61
100910285;593
100910285;8
100990039;1035
100990039;35
100990039;9
101010801;2256
101010801;10
101011192;21947
101011192;216
101011192;17
101011192;4
101011226;11448
101011226;219
101011226;9
101011208;2375
101011208;72
101011208;12
101010819;7247
101010819;165
101010819;1
101010916;20866
101010916;225
101010916;1
101010916;3
101010828;22623
101010828;350
101010828;1
101010828;2
101011235;3927
101011235;88
101011235;5
101010016;2681
101010016;141
101010016;40
101010016;2
101010025;726
101010025;21
101010034;529
101010034;6
101010907;377
101010907;14
101010907;1
101010043;678
101010043;25
101010052;800
101010052;20
101010052;8
101010061;806
101010061;4
101010061;1
101010079;921
101010079;2
101010079;1
101010088;469
101010088;7
101010097;167
101010097;2
101010104;388
101010104;1
101010113;897
101010113;21
101010113;7
101010122;1322
101010122;25
101010131;250
101010131;38
101010131;12
101010131;5
101010167;859
101010167;9
101011305;1952
101011305;18
101011305;1
101010776;1055
101010776;18
101010776;3
101010176;962
101010176;9
101010185;1034
101010255;4332
101010255;125
101010255;1
101010264;1022
101010264;7
101010273;2082
101010273;28
101010282;1070
101010282;36
101010291;97
101010291;12
101010307;1940
101010307;67
101010316;786
101010316;25
101010855;265
101010855;28
101010325;1328
101010325;15
101011165;19
101090535;752
101090535;21
101010722;1949
101010722;8
101010722;1
101010731;1538
101010731;45
101010758;2552
101010758;14
101010758;3
101090538;6751
101090538;49
101090538;3
101010837;3217
101010837;106
101010837;7
101010334;790
101010334;10
101010334;1
101010352;817
101010352;41
101010343;728
101010343;24
101010361;595
101010361;25
101011323;6751
101011323;190
101011323;8
101010767;4438
101010767;53
101010767;1
101090547;2203
101090547;57
101010997;690
101010997;36
101010997;1
101011129;24
101011129;4
101011005;1004
101011005;7
101011014;548
